company,ipo,founding
INTERNATIONAL SAVINGS,19830405,1925
DEB SHOPS,19830406,1973
BFI COMMUNICATIONS,19830407,1980
COMMONWEALTH FED. S&L,19830407,1980
QUANTECH ELECTRONICS,19830407,1977
GULFSTREAM AEROSPACE,19830408,1956
CONTINENTAL AIRLINES,19830411,1982
COLLINS INDUSTRIES,19830412,1971
RAUCH INDUSTRIES,19830412,1956
HYTEK MICROSYSTEMS,19830413,1974
VALLEY FEDERAL S&L,19830413,1925
INTERFACE FLOORING,19830414,1973
"IGC, INC.",19830419,1981
COMBINED NETWORK,19830420,1980
INTEGRATED CIRCUITS,19830421,1969
REGIS CORPORATION,19830426,1954
"TELECI, INC.",19830426,1967
TRAK AUTO CORP.,19830426,1980
CLINICAL DATA,19830427,1974
E&B MARINE,19830427,1956
"TELERATE, INC.",19830427,1969
AMER. BLOODPRESSURE,19830504,1983
GREEN TREE ACCEPTANCE,19830504,1975
STERLING SOFTWARE,19830504,1983
THE DRESS BARN,19830504,1966
MACNEAL-SCHWENDLER,19830505,1963
MORGAN KEEGAN & CO.,19830505,1969
OVERLAND EXPRESS,19830505,1964
UNITED BANCORP ALASKA,19830505,1974
CARE ENTERPRISES,19830506,1978
HOME FED./ROCKIES,19830510,1934
KINNEY SYSTEMS,19830510,1977
"VALUE LINE, INC.",19830510,1931
CONSCO ENTERPRISES,19830511,1972
"SPECTRAVIDEO, INC.",19830511,1983
COLONIAL X-RAY CORP.,19830512,1980
"COMPUSHOP, INC.",19830512,1977
"CONVERSE, INC.",19830512,1908
"INFO DESIGNS, INC.",19830512,1980
"PRIMAGES, INC.",19830512,1981
UNIVERSAL HOLDING,19830512,1981
"BENAFUELS, INC.",19830513,1980
"COMPU-PLAN, INC.",19830513,1981
CUSTOM CREAMERY,19830513,1983
LSI LOGIC CORP.,19830513,1980
"LYPHOMED, INC.",19830513,1980
CLUBMART OF AMERICA,19830518,1982
NU HORIZONS ELECTRONIC,19830518,1982
BASIC AMERICAN MED.,19830519,1974
GIBSON GREETINGS,19830519,1900
